# ell    tt_lensed   ee_lensed   bb_lensed   te_lensed   tt_unlensed ee_unlensed bb_unlensed te_unlensed kk
134 3.809287e+03 1.058468e+00 5.128671e-03 -4.139995e+01 1.322488e+00 3.662866e-04 0.000000e+00 -1.440768e-02 6.172672e+00
135 3.843275e+03 1.060700e+00 5.210111e-03 -4.173775e+01 1.314687e+00 3.616366e-04 0.000000e+00 -1.431232e-02 6.318407e+00
136 3.877223e+03 1.062465e+00 5.292377e-03 -4.205774e+01 1.306959e+00 3.569246e-04 0.000000e+00 -1.421221e-02 6.466269e+00
137 3.911119e+03 1.063756e+00 5.375477e-03 -4.235950e+01 1.299299e+00 3.521523e-04 0.000000e+00 -1.410743e-02 6.616272e+00
138 3.944955e+03 1.064580e+00 5.459416e-03 -4.264267e+01 1.291705e+00 3.473267e-04 0.000000e+00 -1.399811e-02 6.768424e+00
139 3.978718e+03 1.064933e+00 5.544202e-03 -4.290684e+01 1.284171e+00 3.424491e-04 0.000000e+00 -1.388433e-02 6.922738e+00
140 4.012416e+03 1.064814e+00 5.629841e-03 -4.315157e+01 1.276700e+00 3.375237e-04 0.000000e+00 -1.376617e-02 7.079225e+00
141 4.046028e+03 1.064239e+00 5.716337e-03 -4.337651e+01 1.269285e+00 3.325587e-04 0.000000e+00 -1.364376e-02 7.237897e+00
142 4.079548e+03 1.063195e+00 5.803698e-03 -4.358115e+01 1.261924e+00 3.275528e-04 0.000000e+00 -1.351713e-02 7.398764e+00
143 4.112975e+03 1.061689e+00 5.891928e-03 -4.376523e+01 1.254617e+00 3.225117e-04 0.000000e+00 -1.338643e-02 7.561838e+00
144 4.146290e+03 1.059729e+00 5.981033e-03 -4.392832e+01 1.247357e+00 3.174408e-04 0.000000e+00 -1.325172e-02 7.727133e+00
145 4.179493e+03 1.057309e+00 6.071018e-03 -4.406991e+01 1.240144e+00 3.123407e-04 0.000000e+00 -1.311306e-02 7.894657e+00
