,RADeg,decDeg,z,fluxmJy_1.4GHz,fluxmJy_30GHz,fluxmJy_90GHz,fluxmJy_148GHz,fluxmJy_219GHz,fluxmJy_277GHz,fluxmJy_350GHz
191463,3.209951,0.9920839999999982,1.93595,0.0681429,0.00454383,0.00188007,0.00126286,0.000923013,0.000764855,0.00063432
191464,4.199684,8.125927000000004,1.93607,6.33934,0.544301,0.226015,0.151818,0.110963,0.0919492,0.0762566
191465,0.525176,10.011755999999998,1.93619,0.30405,0.0260023,0.0107877,0.00724621,0.00529621,0.00438871,0.0036397
191467,6.040072,3.960413,1.9362,0.0684811,0.0057759,0.00239502,0.00160875,0.00117582,0.000974347,0.000808059
191468,6.036632,3.9597819999999984,1.9362,2.0565,0.170688,0.0698127,0.0468539,0.0342405,0.0283728,0.0235304
191469,11.327798,7.882850999999994,1.93622,0.136853,0.0862444,0.0806266,0.0600633,0.0409637,0.0303617,0.0213338
191470,3.280501,2.4077399999999978,1.93625,0.337459,0.026733,0.0109903,0.0073809,0.00539457,0.00447021,0.00370729
191472,3.384052,10.017823000000005,1.9363,0.237554,0.0203264,0.00842726,0.00566059,0.00413728,0.00342836,0.00284326
191473,5.213696,10.107750000000003,1.93632,0.182745,0.0155014,0.00643635,0.00432339,0.00315994,0.00261848,0.0021716
191474,5.026009,6.799641000000002,1.93633,0.0502669,0.00421721,0.00175114,0.00117627,0.000859726,0.000712413,0.000590828
191475,3.6343459999999994,1.1120659999999958,1.93637,0.145021,0.0118129,0.00490227,0.00329291,0.00240677,0.00199437,0.001654
191476,3.637585,1.1111890000000013,1.93637,0.0806921,0.00692721,0.0028764,0.00193212,0.00141217,0.0011702,0.000970484
191477,3.6370340000000003,1.1105810000000018,1.93637,0.0765734,0.00653049,0.00271174,0.00182152,0.00133133,0.00110321,0.000914931
191478,2.533012,7.081020000000005,1.9364,0.463912,0.0398961,0.0165271,0.0110998,0.00811257,0.00672247,0.00557516
191479,11.41933,11.200204999999999,1.93641,0.237139,0.0202941,0.00842617,0.00565998,0.00413684,0.003428,0.00284295
191480,11.421067,11.200911999999995,1.93641,0.234745,0.034694,0.0109134,0.00617797,0.00415729,0.00335586,0.00274454
191481,4.589198,10.722480999999997,1.93642,0.0502214,0.00393408,0.00163339,0.00109717,0.000801918,0.00066451,0.0005511
191482,3.004715,8.510785000000004,1.93649,0.0805337,0.00662255,0.00274994,0.00184717,0.00135009,0.00111875,0.000927817
191483,4.662678,10.697341000000003,1.93649,0.0510012,0.00437238,0.00181537,0.00121941,0.00089126,0.000738543,0.000612499
191484,4.350516,1.6098720000000044,1.93655,0.0577156,0.00495495,0.00205751,0.00138206,0.00101014,0.000837052,0.000694195
191485,6.984363,4.981167000000005,1.93657,0.0632796,0.00536945,0.00222958,0.00149764,0.00109461,0.000907053,0.000752249
191486,6.016596,3.9434199999999957,1.93662,0.542912,0.0467337,0.0194059,0.0130352,0.00952734,0.00789484,0.00654746
191487,1.572402,9.862824999999997,1.93668,0.0659222,0.00565519,0.00234828,0.00157737,0.00115289,0.000955345,0.0007923
191488,1.569788,9.863585,1.93668,0.0523392,0.00449731,0.00186734,0.00125432,0.000916771,0.000759683,0.000630031
191489,7.408325,5.901102999999999,1.93671,0.290196,0.0235592,0.00977563,0.00656643,0.00479936,0.00397699,0.00329825
191490,0.515717,11.126745,1.93672,0.0760589,0.00647206,0.00268747,0.00180522,0.00131942,0.00109334,0.000906742
191491,7.745091,8.701277000000005,1.93673,0.0840624,0.00714138,0.00296507,0.00199168,0.0014557,0.00120627,0.0010004
191492,8.169926,5.562926000000003,1.93675,0.147438,0.0126893,0.00526895,0.00353923,0.0025868,0.00214355,0.00177772
191494,11.065345000000002,4.560221000000005,1.93682,0.136566,0.0120851,0.00491087,0.00328109,0.00239468,0.00198377,0.00164503
191495,2.660655,6.192914000000005,1.93683,0.207541,0.0172558,0.00716375,0.00481199,0.00351705,0.00291441,0.00241702
191496,7.231919,10.636777000000004,1.93684,0.0621324,0.0050665,0.00205213,0.00137677,0.00100611,0.000833691,0.000691404
191497,8.896162,5.297697999999995,1.93685,0.110946,0.0101867,0.00399674,0.00265703,0.00193751,0.00160488,0.00133079
191498,7.817427000000001,8.398237,1.93688,1.67437,0.1431,0.0594212,0.039914,0.0291729,0.0241742,0.0200484
191499,4.941226,2.6171189999999975,1.93693,0.0500524,0.00361607,0.00150154,0.00100861,0.000737183,0.000610867,0.000506613
191500,4.946278,2.616181000000003,1.93693,0.0655357,0.00563138,0.00233835,0.00157071,0.00114802,0.000951307,0.000788951
191501,4.94099,2.617333999999995,1.93693,0.0728784,0.00623698,0.00258987,0.00173965,0.0012715,0.00105363,0.00087381
191502,8.939238,0.5010250000000015,1.93693,0.285938,0.025203,0.0101666,0.00679034,0.00495451,0.00410384,0.0034028
191503,8.935402,0.5038259999999957,1.93693,0.104889,0.0089798,0.0037288,0.00250469,0.00183066,0.00151698,0.00125808
191504,5.03189,6.5070530000000035,1.93695,0.27649,0.0138134,0.00547152,0.0036748,0.00268588,0.00222565,0.00184581
191505,6.387645,2.381447000000001,1.93695,0.206165,0.0176111,0.00731283,0.00491213,0.00359024,0.00297506,0.00246732
191506,6.37805,2.3827500000000006,1.93695,0.255775,0.0210854,0.00875529,0.00588105,0.00429842,0.00356189,0.002954
191507,6.387232000000001,2.3873849999999948,1.93695,0.39529,0.033914,0.0140227,0.00941881,0.00688413,0.00570454,0.00473097
191508,6.383468,2.3788090000000026,1.93695,0.216655,0.0200284,0.0072812,0.00484677,0.00353824,0.00293155,0.00243115
191509,5.881271,6.852281000000006,1.93698,0.0529057,0.00440155,0.0018277,0.00122769,0.000897312,0.000743558,0.000616658
191510,5.882145,6.850055999999999,1.93698,0.171234,0.0364811,0.0154884,0.00847194,0.00493315,0.00354836,0.00258782
191512,5.123878,1.2570670000000035,1.937,2.40195,0.205557,0.0851763,0.0572132,0.0418167,0.0346514,0.0287376
191513,5.12595,1.2488289999999993,1.937,0.677897,0.0580576,0.0240575,0.0161596,0.0118109,0.00978715,0.00811681
191514,6.313709,2.082536,1.93707,0.167461,0.0145392,0.00597744,0.00401273,0.00293268,0.00243015,0.0020154
191515,2.555362,11.499991,1.93714,0.0811443,0.0199374,0.00990529,0.00554564,0.00315231,0.00218811,0.00152052
191516,2.550545,11.494230999999997,1.93714,0.207647,0.0178158,0.00739772,0.00496916,0.00363192,0.0030096,0.00249596
191518,10.096698,10.405882000000004,1.93715,0.175004,0.0150132,0.00623413,0.00418755,0.00306065,0.00253621,0.00210337
191519,10.085004,10.407333000000003,1.93715,0.291341,0.0246442,0.0101811,0.00683769,0.00499754,0.00414121,0.00343444
191520,5.708024,2.413842999999995,1.9372,0.112513,0.00924994,0.00383572,0.00257645,0.00188311,0.00156044,0.00129413
191521,7.746433999999999,11.489741999999996,1.93721,0.0817029,0.00708062,0.00290808,0.00194939,0.00142389,0.00117972,0.000978308
191522,8.009568,1.5337190000000047,1.93722,0.0577509,0.00490019,0.0020337,0.00136605,0.000998439,0.000827357,0.000686156
191523,8.011287,1.5312659999999998,1.93722,0.0958354,0.00802599,0.00332842,0.00223574,0.00163409,0.00135409,0.00112299
191524,5.312687,3.544509000000001,1.93722,0.0671138,0.00304819,0.00126309,0.00084843,0.000620112,0.000513856,0.000426158
